BSC BowsCoin
DRKT DarkTron
NKA IncaKoin
VERSA Versa Token
EPY Empyrean
SQL Squall Coin
POLY PolyBit
PIGGY Piggy Coin
CHA Charity Coin
GEN Genstake
QTZ Quartz
ARB Arbit Coin
LTS Litestar Coin
SPC SpinCoin
DUB DubCoin
GRAV Graviton
MCN MonetaVerde
QCN Quazar Coin
HEDG Hedgecoin
SONG Song Coin
XSEED BitSeeds
CRE Credits
AXIOM Axiom Coin
SMLY SmileyCoin
RBT Rimbit
CHIP Chip
SPEC SpecCoin
GRAM Gram Coin
UNC UnCoin
SPRTS Sprouts
ZNY BitZeny
BTQ BitQuark
PKB ParkByte
STR* StarCoin
SNRG Synergy
GHOUL Ghoul Coin
HNC Hellenic Coin
DIGS Diggits
EXP Expanse
GCR Global Currency Reserve
CON Paycon
NEU* NeuCoin
GRS Groestlcoin 
CLV CleverCoin
FCT Factoids
LYB LyraBar
PXI Prime-X1
CPC CapriCoin
OBITS Obits Coin
CLUB  ClubCoin
RADS Radium
EMC Emercoin
BLITZ BlitzCoin
EGC EverGreenCoin
MND MindCoin
I0C I0coin
BTA Bata
DCR Decred
NAS2 Nas2Coin
PAK Pakcoin
CRB Creditbit 
REP Augur
OK OKCash
VOX Voxels
AMP Synereo
HODL HOdlcoin
DGD Digix DAO
EDRC EDRCoin
LSK Lisk
HTC Hitcoin
GAME Gamecredits
DSH Dashcoin
DBIC DubaiCoin
XHI HiCoin
SPOTS Spots
KNC* Khancoin
CAB CabbageUnit
DIEM CarpeDiemCoin
RCX RedCrowCoin
PWR PowerCoin
TRUMP TrumpCoin
PRM PrismChain
BCY BitCrystals
RBIES Rubies
STEEM Steem
XWC WhiteCoin
DOT Dotcoin
SCOT Scotcoin
BAC BitalphaCoin
XID* International Diamond Coin
GRT Grantcoin
TCR Thecreed
POST PostCoin
INFX Influxcoin
ETHS EthereumScrypt
NUM NumbersCoin
SOUL SoulCoin
GROW GrownCoin
UNITY SuperNET
NETC NetworkCoin
GPU GPU Coin
TAGR Think And Get Rich Coin
HMP HempCoin
ADZ Adzcoin
GAP Gapcoin
MYC MayaCoin
IVZ InvisibleCoin
SLS SaluS
SOIL SoilCoin
CUBE DigiCube
YOC YoCoin
APC AlpaCoin
STEPS Steps
DBTC DebitCoin
UNIT Universal Currency
AEON AeonCoin
MOIN MoinCoin
ERC EuropeCoin
AIB AdvancedInternetBlock
PRIME PrimeChain
BERN BERNcash
BIGUP BigUp
KR Krypton
XRE RevolverCoin
1337 1337
XDB DragonSphere
MNM Mineum
ADCN Asiadigicoin
ZEIT ZeitCoin
611 SixEleven
2GIVE 2GiveCoin
CGA Cryptographic Anomaly
SWING SwingCoin
SAFEX SafeExchangeCoin
NEBU Nebuchadnezzar
AEC AcesCoin
FRN Francs
ADN Aiden
PULSE Pulse
N7 Number7
CYG Cygnus
LGBTQ LGBTQoin
UTH Uther
MPRO MediumProject
404 404Coin
SPM Supreme
MOJO Mojocoin
BELA BelaCoin
FLX Flash
BOLI BolivarCoin
CLUD CludCoin
DIME DimeCoin
FLY FlyCoin
HVCO High Voltage Coin
GREXIT GrexitCoin
CARBON Carboncoin
DEUR DigiEuro
TUR Turron
LEMON LemonCoin
STS STRESScoin
DISK Dark Lisk
NEVA NevaCoin
CYT Cryptokenz
FUZZ Fuzzballs
XNX XanaxCoin
STAR* StarCoin
STHR Stakerush
BON BonesCoin
WMC WMCoin
GOTX GothicCoin
FLVR FlavorCoin
SHREK ShrekCoin
STA* Stakers
RISE Rise
REV Revenu
PBC PabyosiCoin
OBS Obscurebay
EXIT ExitCoin
EDC EducoinV
CKC Clockcoin
VIP VIP Tokens
NXE NXEcoin
ZOOM ZoomCoin
DRACO DT Token
YOVI YobitVirtualCoin
KUBO KubosCoin
INCP InceptionCoin
SAK SharkCoin
EVIL EvilCoin
OMA OmegaCoin
COX CobraCoin
BNT Bancor Network Token
DES Destiny
PDC Project Decorum
CMT CometCoin
CHESS ChessCoin
SPACE SpaceCoin
REE ReeCoin
LQD Liquid
MARV Marvelous
XDE2 XDE II
VEC2 VectorCoin 2.0 
OMNI Omni
GSY GenesysCoin
TKN* TrollTokens
LIR Let it Ride
MMNXT MMNXT 
SCRPT ScryptCoin
LBC LBRY Credits
SPX Specie
SBD Steem Backed Dollars
CJ CryptoJacks
PUT PutinCoin
KRAK Kraken
DLISK Dlisk
IBANK iBankCoin
STRAT Stratis
VOYA Voyacoin
ENTER EnterCoin (ENTER)
WGC World Gold Coin
BM BitMoon
PSY Psilocybin
XT ExtremeCoin
RUST RustCoin
NZC NewZealandCoin
SNGLS SingularDTV
XAUR Xaurum
BFX BitFinex Tokens
UNIQ Uniqredit
CRX ChronosCoin
XPOKE PokeChain
MUDRA MudraCoin
WARP WarpCoin
CNMT Coinomat
PIZZA PizzaCoin
LC Lutetium Coin
HEAT Heat Ledger
ICN Iconomi
EXB ExaByte (EXB)
WINGS Wings DAO
CDX* Cryptodex
RBIT ReturnBit
DCS. deCLOUDs
KMD Komodo
GB GoldBlocks
NEO NEO
ANC Anoncoin
SYNX Syndicate
MC Mass Coin
EDR E-Dinar Coin
JWL Jewels
TAB MollyCoin
TRIG Trigger
BITCNY bitCNY
BITUSD bitUSD
ATM* Autumncoin
STO Save The Ocean
SNS Sense
FSN Fusion
CTC CarterCoin
TOT TotCoin
BTD Bitcloud
BOTS ArkDAO
MDC MedicCoin
FTP FuturePoints
ZET2 Zeta2Coin
COV* CovenCoin
KRB Karbo
TELL Tellurion
ENE EneCoin
TDFB TDFB
BLOCKPAY BlockPay
BXT BitTokens
MST MustangCoin
GOON Goonies
808 808
VLT Veltor
ZNE ZoneCoin
COVAL Circuits of Value
DGDC DarkGold
TODAY TodayCoin
ROOT RootCoin
1ST FirstBlood
GPL Gold Pressed Latinum
DOPE DopeCoin
B3 B3 Coin
FX FCoin
PIO Pioneershares
GAY GayCoin
SMSR Samsara Coin
UBIQ Ubiqoin
ARM Armory Coin
RING RingCoin
ERB ERBCoin
LAZ Lazarus
FONZ FonzieCoin
BTCR BitCurrency
DROP FaucetCoin
SANDG Save and Gain
PNK SteamPunk
MOOND Dark Moon
DLC DollarCoin
SEN Sentaro
SCN Swiscoin
WEX Wexcoin
LTH Lathaan
BRONZ BitBronze
SH Shilling
MG Mind Gene
PSI PSIcoin
NLC NoLimitCoin
PSB PesoBit
XBTS Beats
FIT Fitcoin
PINKX PantherCoin
UNF Unfed Coin
SPORT SportsCoin
PPY Peerplays
NTC NineElevenTruthCoin
EGO EGOcoin
BTCL* BitluckCoin
RCN* RCoin
X2 X2Coin
MT Mycelium Token
TIA Tianhe
XUP UPcoin
HALLO Halloween Coin
BBCC BaseballCardCoin
EMIGR EmiratesGoldCoin
BHC BighanCoin
CRAFT Craftcoin
INV Invictus
OLYMP OlympCoin
DPAY DelightPay
ATOM Atomic Coin
HKG Hacker Gold
ANTC AntiLitecoin
JOBS JobsCoin
DGORE DogeGoreCoin
TRA Tetra
RMS Resumeo Shares
FJC FujiCoin
VAPOR Vaporcoin
SDP SydPakCoin
RRT Recovery Right Tokens
PRE Premium
CALC CaliphCoin
LEA LeaCoin
CF Californium
CRNK CrankCoin
CFC CoffeeCoin
VTY Victoriouscoin
SFE Safecoin
ARDR Ardor
BS BlackShadowCoin
JIF JiffyCoin
CRAB CrabCoin
AIR* Aircoin
HILL President Clinton
FOREX ForexCoin
MONETA Moneta
EC Eclipse
RUBIT Rublebit
HCC HappyCreatorCoin 
BRAIN BrainCoin
VTX Vertex
KRC KRCoin
ROYAL RoyalCoin
LFC BigLifeCoin
ZUR Zurcoin
NUBIS NubisCoin
TENNET Tennet
PEC PeaceCoin
GMX Goldmaxcoin
32BIT 32Bitcoin
GNJ GanjaCoin V2
TEAM TeamUP
SCT ScryptToken
LANA LanaCoin
ELE Elementrem
GCC GuccioneCoin
AND AndromedaCoin
GBYTE Byteball
EQUAL EqualCoin
SWEET SweetStake
2BACCO 2BACCO Coin
DKC DarkKnightCoin
COC Community Coin
CHOOF ChoofCoin
ZCL ZClassic
RYCN RoyalCoin 2.0
PCS Pabyosi Coin
NBIT NetBit
WINE WineCoin
ARK ARK
IFLT InflationCoin
ZECD ZCashDarkCoin
